LEVEL,DATAYEARS,AGENCYID,COUNTY,DISTRICT,SCHOOL,NAME,AVERAGE_COMPOSITE_SCORE,STUDENTS_WITH_COMPOSITE_SCORES
SC,20172018,55-0145-001,55,145,1,WAVERLY HIGH SCHOOL,21.1065,169
SC,20172018,55-0148-001,55,148,1,MALCOLM JR/SR HIGH SCHOOL,21.3415,41
SC,20172018,55-0160-001,55,160,1,NORRIS HIGH SCHOOL,21.62,150
SC,20172018,55-0161-001,55,161,1,SECONDARY SCH AT RAYMOND,20.5082,61
SC,20172018,56-0001-001,56,1,1,NORTH PLATTE HIGH SCHOOL,17.6161,323
SC,20172018,56-0006-001,56,6,1,BRADY HIGH SCHOOL,19.9231,13
SC,20172018,56-0007-001,56,7,1,MAXWELL HIGH SCHOOL,16.1667,18
SC,20172018,56-0037-001,56,37,1,HERSHEY HIGH SCHOOL,18.5417,48
SC,20172018,56-0055-001,56,55,1,SUTHERLAND HIGH SCHOOL,19.48,25
SC,20172018,56-0565-001,56,565,1,WALLACE HIGH SCHOOL,20,15
SC,20172018,57-0501-001,57,501,1,STAPLETON HIGH SCHOOL,18.3333,15
SC,20172018,59-0001-001,59,1,1,MADISON HIGH SCHOOL,17.0488,41
SC,20172018,59-0002-001,59,2,1,NORFOLK SENIOR HIGH SCHOOL,18.6523,302
SC,20172018,59-0005-001,59,5,1,BATTLE CREEK HIGH SCHOOL,20.5,32
SC,20172018,59-0013-001,59,13,1,NEWMAN GROVE HIGH SCHOOL,19.7273,11
SC,20172018,59-0080-001,59,80,1,ELKHORN VALLEY HIGH SCHOOL,18.2273,22
SC,20172018,61-0004-001,61,4,1,CENTRAL CITY HIGH SCHOOL,19.5366,41
SC,20172018,61-0049-001,61,49,1,PALMER JUNIOR-SENIOR HIGH,18.9565,23
SC,20172018,62-0021-001,62,21,1,BAYARD SECONDARY SCHOOL,18.3939,33
SC,20172018,62-0063-001,62,63,1,BRIDGEPORT HIGH SCHOOL,20.8409,44
SC,20172018,63-0001-001,63,1,1,FULLERTON HIGH SCHOOL,23.2857,21
SC,20172018,63-0030-001,63,30,1,TWIN RIVER SR HIGH SCHOOL,19.4103,39
SC,20172018,64-0023-001,64,23,1,HIGH SCHOOL AT JOHNSON,22.8824,17
SC,20172018,64-0029-001,64,29,1,AUBURN HIGH SCHOOL,21.3125,64
SC,20172018,65-0011-001,65,11,1,SUPERIOR JR/SR HIGH SCHOOL,20.2308,26
SC,20172018,65-2005-001,65,2005,1,SANDY CREEK HIGH SCHOOL,20.0667,30
SC,20172018,65-2005-006,65,2005,6,LAWRENCE/NELSON HIGH SCH,21.4667,15
SC,20172018,66-0027-001,66,27,1,HIGH SCHOOL AT SYRACUSE,20.125,48
SC,20172018,66-0111-001,66,111,1,NEBRASKA CITY HIGH SCHOOL,17.4128,109
SC,20172018,66-0501-001,66,501,1,JR-SR HIGH SCHOOL AT PALMYRA,21.1212,33
SC,20172018,67-0001-001,67,1,1,PAWNEE CITY SECONDARY SCHOOL,18.8636,22
SC,20172018,67-0069-001,67,69,1,LEWISTON HIGH SCHOOL,17.5833,12
SC,20172018,68-0020-001,68,20,1,PERKINS COUNTY JUNIOR- SENIOR HIGH SCHOOL,20.9091,22
SC,20172018,69-0044-001,69,44,1,HOLDREGE HIGH SCHOOL,19.6224,98
SC,20172018,69-0054-001,69,54,1,BERTRAND HIGH SCHOOL,19.5,20
SC,20172018,69-0055-001,69,55,1,LOOMIS SECONDARY SCHOOL,22.5,14
SC,20172018,70-0002-001,70,2,1,PIERCE JR/SR HIGH SCHOOL,20.9636,55
SC,20172018,70-0005-001,70,5,1,PLAINVIEW SECONDARY SCHOOL,19.375,16
SC,20172018,70-0542-001,70,542,1,OSMOND HIGH SCHOOL,21.0714,14
SC,20172018,71-0001-001,71,1,1,COLUMBUS HIGH SCHOOL,18.4238,269
SC,20172018,71-0005-001,71,5,1,LAKEVIEW HIGH SCHOOL,19.3034,89
SC,20172018,71-0067-001,71,67,1,HUMPHREY JR-SR HIGH SCHOOL,21.8125,16
SC,20172018,72-0015-004,72,15,4,CROSS COUNTY HIGH SCHOOL,20.2083,24
SC,20172018,72-0019-001,72,19,1,OSCEOLA HIGH SCHOOL,22.3846,13
SC,20172018,72-0032-001,72,32,1,SHELBY - RISING CITY  HIGH SCHOOL,20.3333,30
SC,20172018,72-0075-001,72,75,1,HIGH PLAINS COMMUNITY HIGH SCH,20.1176,17
SC,20172018,73-0017-001,73,17,1,MC COOK SENIOR HIGH SCHOOL,20.6602,103
SC,20172018,73-0179-007,73,179,7,SOUTHWEST JR/SR HIGH SCHOOL,18.0513,39
SC,20172018,74-0056-001,74,56,1,FALLS CITY SENIOR HIGH,18.1961,51
SC,20172018,74-0070-001,74,70,1,HTRS HIGH SCHOOL,20.5,22
SC,20172018,75-0100-001,75,100,1,ROCK COUNTY HIGH SCHOOL,20.2308,13
SC,20172018,76-0002-001,76,2,1,CRETE HIGH SCHOOL,18.3673,147
SC,20172018,76-0044-001,76,44,1,DORCHESTER HIGH SCHOOL,16.8333,12
SC,20172018,76-0068-001,76,68,1,FRIEND HIGH SCHOOLS,18.4444,18
SC,20172018,76-0082-001,76,82,1,WILBER-CLATONIA HIGH SCHOOL,18.7442,43
SC,20172018,77-0001-001,77,1,1,BELLEVUE EAST SR HIGH SCHOOL,18.7808,333
SC,20172018,77-0001-004,77,1,4,BELLEVUE WEST SR HIGH SCHOOL,19.7451,408
SC,20172018,77-0027-001,77,27,1,PAPILLION LA VISTA SENIOR HIGH,20.5683,417
SC,20172018,77-0027-018,77,27,18,PAPILLION LA VISTA SOUTH HS,21.2,405
SC,20172018,77-0037-001,77,37,1,GRETNA HIGH SCHOOL,22.1062,292
SC,20172018,77-0046-001,77,46,1,PLATTEVIEW SENIOR HIGH SCHOOL,21.4556,90
SC,20172018,78-0001-001,78,1,1,ASHLAND-GREENWOOD HIGH SCHOOL,20.6364,55
SC,20172018,78-0009-001,78,9,1,YUTAN HIGH SCHOOL,20.9286,28
SC,20172018,78-0039-001,78,39,1,WAHOO HIGH SCHOOL,20.0423,71
SC,20172018,78-0072-001,78,72,1,MEAD HIGH SCHOOL,18.6154,13
SC,20172018,78-0107-001,78,107,1,CEDAR BLUFFS HIGH SCHOOL,17.7368,19
SC,20172018,79-0002-001,79,2,1,MINATARE HIGH SCHOOL,16.6429,14
SC,20172018,79-0011-001,79,11,1,MORRILL HIGH SCHOOL,17.7778,27
SC,20172018,79-0016-001,79,16,1,GERING HIGH SCHOOL,18.8108,148
SC,20172018,79-0031-001,79,31,1,MITCHELL SECONDARY SCHOOL,19.1667,48
SC,20172018,79-0032-001,79,32,1,SCOTTSBLUFF SENIOR HIGH SCHOOL,17.7048,227
SC,20172018,80-0005-001,80,5,1,MILFORD HIGH SCHOOL,21.4118,51
SC,20172018,80-0009-001,80,9,1,SEWARD HIGH SCHOOL,21.0748,107
SC,20172018,80-0567-001,80,567,1,CENTENNIAL JR-SR HIGH SCHOOL,21.3696,46
SC,20172018,81-0010-001,81,10,1,GORDON-RUSHVILLE HIGH SCHOOL,19.5556,36
SC,20172018,82-0001-001,82,1,1,LOUP CITY HIGH SCHOOL,19.9444,18
SC,20172018,84-0003-001,84,3,1,STANTON HIGH SCHOOL,19.5185,27
SC,20172018,85-0060-001,85,60,1,DESHLER HIGH SCHOOL,21.4118,17
SC,20172018,85-0070-001,85,70,1,THAYER CENTRAL HIGH SCHOOL,21,36
SC,20172018,85-2001-001,85,2001,1,BRUNING-DAVENPORT HIGH SCHOOL,21.5714,14
SC,20172018,86-0001-001,86,1,1,THEDFORD HIGH SCHOOL,18.8462,13
SC,20172018,87-0001-001,87,1,1,PENDER HIGH SCHOOL,21,24
SC,20172018,87-0013-001,87,13,1,WALTHILL HIGH SCHOOL,13.75,20
SC,20172018,87-0016-001,87,16,1,UMO N HO N NATION HIGH SCHOOL,15.0714,28
SC,20172018,87-0017-001,87,17,1,WINNEBAGO HIGH SCHOOL,15.381,42
SC,20172018,88-0005-001,88,5,1,ORD JR-SR HIGH SCHOOL,20.0571,35
SC,20172018,89-0001-001,89,1,1,BLAIR HIGH SCHOOL,20.3506,174
SC,20172018,89-0003-001,89,3,1,FORT CALHOUN HIGH SCHOOL,19.8448,58
SC,20172018,89-0024-001,89,24,1,ARLINGTON HIGH SCHOOL,21.6136,44
SC,20172018,90-0017-001,90,17,1,WAYNE HIGH SCHOOL,20.8551,69
SC,20172018,90-0560-001,90,560,1,WAKEFIELD HIGH SCHOOL,19.6522,23
SC,20172018,91-0074-001,91,74,1,BLUE HILL HIGH SCHOOL,21.2273,22
SC,20172018,93-0012-001,93,12,1,YORK HIGH SCHOOL,18.9109,101
SC,20172018,93-0083-001,93,83,1,MCCOOL JUNCTION JR-SR HIGH SCH,17.3333,27
SC,20172018,93-0096-001,93,96,1,HEARTLAND COMMUNITY HIGH SCH,21.2174,23
