Type,School Year,County,District,School,Agency Name,ADM,Salaries,Benefits,Federal,State/Local,3% Building & Contents,Per Pupil Cost,DataAsOf
SC,20192020,1,3,1,KENESAW SECONDARY SCHOOL,120.76,9895,4134,363,16660,2322,19345,5/19/2021
SC,20192020,1,18,1,HASTINGS SENIOR HIGH SCHOOL,1094.02,6704,2667,353,10409,1687,12449,2/17/2021
SC,20192020,1,90,1,ADAMS CENTRAL JR-SR HIGH SCH,437.51,8870,3628,59,15667,2394,18120,10/30/2020
SC,20192020,1,123,1,SILVER LAKE HIGH SCHOOL,103.9,11696,4121,75,21562,3212,24849,10/29/2020
SC,20192020,2,18,1,ELGIN HIGH SCHOOL,56.92,14131,7201,383,27042,1392,28817,10/28/2020
SC,20192020,2,2001,3,ORCHARD HIGH SCHOOL,53.81,13179,5696,455,22055,2093,24603,10/27/2020
SC,20192020,3,500,1,ARTHUR COUNTY HIGH SCHOOL,49.26,15179,6070,148,26482,3893,30523,10/30/2020
SC,20192020,4,1,1,BANNER COUNTY HIGH SCHOOL,29.64,23120,8709,539,38070,4440,43049,10/29/2020
SC,20192020,5,71,1,HIGH SCHOOL AT DUNNING,45,16795,8051,611,30633,5437,36681,11/3/2020
SC,20192020,6,1,1,BOONE CENTRAL HIGH SCHOOL,209.34,9538,3834,186,16147,2656,18989,10/30/2020
SC,20192020,6,17,1,ST EDWARD HIGH SCHOOL,75.6,12313,5779,391,21368,2528,24287,3/4/2021
SC,20192020,6,75,1,RIVERSIDE HIGH SCHOOL,58.1,12915,5344,577,22199,3751,26527,3/4/2021
SC,20192020,7,6,1,ALLIANCE HIGH SCHOOL,479.22,6115,2792,553,10309,1990,12852,10/29/2020
SC,20192020,7,10,1,HEMINGFORD HIGH SCHOOL,174.79,10645,4578,138,17895,1231,19264,11/11/2020
SC,20192020,8,51,1,BOYD COUNTY HIGH SCHOOL (SPENCER),91.85,10579,5488,778,18980,2280,22038,2/19/2021
SC,20192020,9,10,1,AINSWORTH HIGH SCHOOL,145.05,9811,4592,94,17658,2877,20629,10/30/2020
SC,20192020,10,2,1,GIBBON HIGH SCHOOL,244.36,8205,3745,287,14012,1543,15842,10/30/2020
SC,20192020,10,7,1,KEARNEY HIGH SCHOOL,1591.04,6147,1288,214,8473,1704,10391,10/23/2020
SC,20192020,10,9,1,ELM CREEK HIGH SCHOOL,148.28,9716,3492,382,15781,1978,18141,12/8/2020
SC,20192020,10,19,1,SHELTON HIGH SCHOOL,126.21,10096,4132,480,17021,2553,20054,11/3/2020
SC,20192020,10,69,1,RAVENNA SENIOR HIGH,192.54,10362,4478,529,16662,2112,19303,11/2/2020
SC,20192020,10,105,1,PLEASANTON HIGH SCHOOL,120.65,7233,2943,267,12340,2058,14665,10/28/2020
SC,20192020,10,119,1,AMHERST HIGH SCHOOL,189.99,4998,2348,907,8452,1428,10787,11/2/2020
SC,20192020,11,1,1,HIGH SCHOOL AT TEKAMAH,221.67,10668,4448,568,17595,1867,20030,10/30/2020
