Type,School Year,County,District,School,Agency Name,ADM,Salaries,Benefits,Federal,State/Local,3% Building & Contents,Per Pupil Cost,DataAsOf
SC,20182019,1,3,1,KENESAW SECONDARY SCHOOL,123.19,8533,3804,631,14206,2253,17090,2/28/2020
SC,20182019,1,18,1,HASTINGS SENIOR HIGH SCHOOL,1033.52,7202,2837,188,11061,1984,13233,2/28/2020
SC,20182019,1,90,1,ADAMS CENTRAL JR-SR HIGH SCH,448.76,8674,3492,0,14726,2573,17299,2/28/2020
SC,20182019,1,123,1,SILVER LAKE HIGH SCHOOL,94.09,12209,4403,44,24129,3156,27329,2/28/2020
SC,20182019,2,9,1,NELIGH-OAKDALE HIGH SCHOOL,159.66,10119,4414,367,21248,1709,23324,2/28/2020
SC,20182019,2,18,1,ELGIN HIGH SCHOOL,53.76,15613,7677,316,27335,1731,29382,2/28/2020
SC,20182019,2,2001,3,ORCHARD HIGH SCHOOL,48.58,14175,6012,583,24894,2692,28169,2/28/2020
SC,20182019,3,500,1,ARTHUR COUNTY HIGH SCHOOL,53.49,14918,5538,87,26088,3620,29795,2/28/2020
SC,20182019,4,1,1,BANNER COUNTY HIGH SCHOOL,46.05,18813,6971,186,32949,3460,36595,2/28/2020
SC,20182019,5,71,1,HIGH SCHOOL AT DUNNING,40.16,16697,7700,579,30993,5962,37534,2/28/2020
SC,20182019,6,1,1,BOONE CENTRAL HIGH SCHOOL,204.83,9844,4023,389,17070,3022,20481,2/28/2020
SC,20182019,6,17,1,ST EDWARD HIGH SCHOOL,80.01,11632,5141,293,20015,2377,22685,2/28/2020
SC,20182019,6,75,1,RIVERSIDE HIGH SCHOOL,53.98,14182,5659,253,23730,3803,27786,2/28/2020
SC,20182019,7,6,1,ALLIANCE HIGH SCHOOL,484.11,6031,2786,559,10071,1887,12517,2/28/2020
SC,20182019,7,10,1,HEMINGFORD HIGH SCHOOL,182.37,8915,4047,136,15926,1176,17238,2/28/2020
SC,20182019,8,51,1,BOYD COUNTY HIGH SCHOOL (SPENCER),105.43,10791,5782,508,20222,2002,22732,2/28/2020
SC,20182019,9,10,1,AINSWORTH HIGH SCHOOL,134.04,10290,4512,227,18657,2124,21008,2/28/2020
SC,20182019,10,7,1,KEARNEY HIGH SCHOOL,1539.98,6342,1349,214,8689,1743,10646,2/28/2020
SC,20182019,10,9,1,ELM CREEK HIGH SCHOOL,144.5,9518,3413,202,15753,2189,18144,2/28/2020
SC,20182019,10,19,1,SHELTON HIGH SCHOOL,133.52,9650,3946,210,16543,2427,19180,2/28/2020
SC,20182019,10,69,1,RAVENNA SENIOR HIGH,200.89,9421,3874,402,14746,2016,17164,2/28/2020
SC,20182019,10,105,1,PLEASANTON HIGH SCHOOL,122.69,7169,2782,257,12312,1913,14482,2/28/2020
SC,20182019,10,119,1,AMHERST HIGH SCHOOL,191.66,5071,2280,563,8283,2361,11207,2/28/2020
SC,20182019,11,1,1,HIGH SCHOOL AT TEKAMAH,224.28,10019,4191,240,16503,1651,18394,2/28/2020
SC,20182019,11,14,1,OAKLAND CRAIG JUNIOR-SENIOR HIGH,217.39,8429,3266,117,13565,1675,15357,2/28/2020
SC,20182019,11,20,1,NORTHEAST SECONDARY SCHOOL,102.07,12201,5071,599,20425,2116,23140,2/28/2020
SC,20182019,12,56,1,DAVID CITY SECONDARY SCHOOL,258.39,10096,4176,296,17773,2485,20554,2/28/2020
SC,20182019,12,502,1,HIGH SCHOOL AT BRAINARD,134.77,2000,1007,157,7907,1537,9601,2/28/2020
SC,20182019,13,1,1,PLATTSMOUTH HIGH SCHOOL,561.09,7427,2653,8,11825,1660,13493,2/28/2020
SC,20182019,13,22,1,WEEPING WATER HIGH SCHOOL,147.46,11326,3783,214,18259,3069,21542,2/28/2020
SC,20182019,13,32,1,LOUISVILLE HIGH SCHOOL,193.68,8581,2797,408,14670,2683,17761,2/28/2020
SC,20182019,13,56,1,CONESTOGA JR/SR HIGH SCHOOL,305.49,7890,3124,157,14042,1788,15987,2/28/2020
SC,20182019,13,97,1,ELMWOOD-MURDOCK JR/SR HIGH SCH,167.3,9912,3898,106,15646,2934,18686,2/28/2020
SC,20182019,14,8,1,HARTINGTON NEWCASTLE HIGH SCHOOL,149.4,10695,4097,91,18360,1340,19791,2/28/2020
SC,20182019,14,45,1,RANDOLPH HIGH SCHOOL,101.16,12240,4782,246,20252,7118,27616,2/28/2020
SC,20182019,14,54,1,LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,113.35,10953,5027,264,20698,3025,23987,2/28/2020
